DPDP Data Inventory — D2C E-Commerce,,,,,,,,,,,,,,,,
By Specus Labs | CC BY 4.0 | This is not legal advice.,,,,,,,,,,,,,,,,
Organisation,,[ORG NAME],Last Updated,,[DATE],Reviewed By,,[NAME],,,,,,,,
,,,,,,,,,,,,,,,,
System Name,System Type,Data Categories Held,Data Subjects,Purpose of Processing,Legal Basis (DPDP Act),Source of Data,Internal Access (Teams / Roles),Vendor / Data Processor Name,Vendor Country,Cross-Border Transfer (Y/N),Security Measures in Place,Retention Period,Deletion Mechanism,Risk Level (Low / Med / High),Children's Data (Y/N),Notes / Action Required
,,,,,,,,,,,,,,,,
Shopify,E-commerce platform,"Customer name, email, phone, delivery address, pin code, order history, payment status, Shopify customer ID, notes added by team","Customers (registered), guest customers","Order processing, customer account management, order history lookup",Consent (Section 6),"Collected directly from customer at checkout or account registration","Founder, Operations team","Shopify Inc. (processor)",USA,Y,"Shopify PCI DSS Level 1, TLS encryption in transit, 2FA on admin account","3 years from last order","Manual deletion via Shopify customer admin or Shopify API","Medium",N,"Shopify stores data in USA. Confirm DPA is in place via Shopify DPA page. Restrict admin access to essential team members only."
Razorpay,Payment gateway,"Customer name, email, phone, tokenised card data, UPI ID, VPA, transaction records, refund records",Customers,"Payment processing, refund and dispute management",Consent (Section 6),"Collected at checkout via Razorpay payment widget","Founder, Finance team","Razorpay Financial Services Pvt Ltd",India,N,"Razorpay PCI DSS Level 1, RBI regulated, TLS, 2FA on dashboard","5 years minimum (RBI regulatory requirement)","Cannot delete — regulatory hold. Document exception in inventory. Contact Razorpay compliance for specific requests.","Low",N,"Regulatory retention means erasure requests cannot be fully honoured for payment records. Inform customers of this at the point of consent."
Shiprocket,Logistics platform,"Customer name, phone, delivery address, pin code, order ID, shipment tracking status, delivery partner details","Customers (delivery recipients)","Order fulfilment, shipment tracking, return management",Consent (Section 6),"Received from Shopify via Shiprocket integration (automated)","Operations team","Shiprocket (processor); sub-processors: Delhivery, Ekart, Xpressbees, DTDC",India,N,"Shiprocket standard platform security, TLS","1 year from delivery or return completion","Request deletion via Shiprocket admin dashboard. Sub-processor data deletion must be requested separately.","Low",N,"Shiprocket passes customer name and phone to last-mile carriers. Confirm Shiprocket's DPA covers sub-processor obligations. DPA NOT yet confirmed — action required."
Klaviyo,Email marketing platform,"Customer name, email address, purchase history, email engagement data (opens, clicks, bounces), marketing segments, unsubscribe status","Customers (subscribed), lapsed customers","Email marketing campaigns, abandoned cart recovery, product announcements, post-purchase flows",Consent (Section 6),"Imported from Shopify via native Klaviyo-Shopify integration","Marketing team, Founder","Klaviyo Inc.",USA,Y,"Klaviyo SOC 2 Type II, TLS encryption, 2FA","2 years from last engagement, or until unsubscribed","Delete profile via Klaviyo dashboard or Klaviyo API. Unsubscribes must be honoured immediately — suppression list managed by Klaviyo.","Medium",N,"Cross-border transfer to USA. Requires DPA — download Klaviyo standard DPA from Klaviyo legal page. Disclose in privacy policy."
Google Analytics 4 (GA4),Web analytics,"Anonymised IP address, device type, browser, city-level location, session data, pages visited, product views, conversion events, UTM parameters","Website visitors (anonymous)","Website traffic analysis, UX optimisation, marketing attribution, conversion tracking",Legitimate use / Cookie consent,"Collected automatically via GA4 JavaScript tracking code on website","Marketing team, Founder","Google LLC",USA,Y,"IP anonymisation feature enabled (verify), Google TLS, Google Workspace security","26 months (GA4 default setting)","Use GA4 Data Deletion Request tool in GA4 Admin. Individual-level deletion available.","Low","Possible — if product is for children","Implement cookie consent banner before loading GA4. Verify IP anonymisation is enabled in GA4 settings. If you sell products for children review Section 9 of DPDP Act."
Meta Ads Manager,Advertising platform,"Hashed email addresses and phone numbers (custom audience upload), pixel-collected behavioural data (device ID, page views, add to cart, purchase events)","Customers and website visitors","Paid advertising, retargeting, lookalike audience creation",Consent (Section 6),"Hashed data uploaded from Shopify export; pixel data collected via Meta Pixel on website","Marketing team","Meta Platforms Inc.",USA,Y,"Meta standard security, hashing before upload, Meta Business Privacy Policy","Until custom audience is deleted, or until account closure","Delete custom audiences directly in Meta Ads Manager. Pixel data retained by Meta per their policy.","Medium",N,"Customer consent required before uploading hashed data to Meta. Disclose Meta Pixel and custom audiences in privacy policy and cookie notice."
Customer Support Tool (Intercom / Freshdesk / Zendesk),Customer support platform,"Customer name, email, phone, order details shared in support chat, issue description, resolution notes, conversation history","Customers (support contacts)","Customer support, issue resolution, complaint management",Consent (Section 6),"Customers initiate contact via chat widget, email, or WhatsApp","Support team, Founder","Intercom R&D / Freshworks / Zendesk (as applicable)",Ireland / India / USA,Y,"Platform-standard SOC 2 security, TLS","2 years from ticket resolution","Delete contact and conversation via platform admin. Export data before deletion if needed for audit.","Low",N,"Update platform name in this row to reflect your actual tool. Confirm DPA with your specific platform."
WhatsApp Business,Messaging platform,"Customer name, phone number, WhatsApp chat transcripts, order-related messages, support queries","Customers","Customer support, order updates, delivery notifications",Consent (Section 6),"Customer-initiated messages to your WhatsApp Business number","Support team","Meta Platforms Inc. (WhatsApp)",USA,Y,"WhatsApp end-to-end encryption for messages in transit","1 year from last message","Manual deletion of individual chats. No bulk deletion available in WhatsApp Business.","Medium",N,"No automated deletion available. Set a manual quarterly review. WhatsApp data cannot be exported or deleted at scale — evaluate whether WhatsApp is appropriate for support workflows at your stage."
Internal Database / Backend,Product database,"User ID, registered name, email, phone, hashed password, subscription status, order references, feature usage logs, session tokens","Registered customers","Product functionality, account management, customer lookup, debugging",Consent (Section 6),"Customer registration and in-app actions","Engineering team only","Cloud provider (AWS / GCP / Azure) as infrastructure",India/USA,Depends on region,"Encryption at rest (AES-256), TLS in transit, role-based access control (RBAC), access logs","Duration of account + 1 year post-deletion request","Automated via account deletion API endpoint or manual DB query with logged audit trail","High",N,"Confirm database region. If using AWS, ensure Mumbai (ap-south-1) region to avoid cross-border transfer. Review who has database access — restrict to engineering lead and founder only."
HR System / Spreadsheet (Employee Data),Spreadsheet or HR tool,"Employee name, phone, personal email, home address, date of birth, PAN number, Aadhaar number, bank account and IFSC, salary, designation, date of joining, leave records, emergency contact",Employees,"Payroll processing, HR management, statutory compliance (PF, ESI, TDS)","Contractual necessity / Legal obligation","Collected directly from employee during onboarding","Founder, HR lead only","External accountant (via email or shared drive)",India,N,"Google Workspace access controls (if using Sheets), access restricted to 2 people maximum","Duration of employment + 5 years post-exit (statutory requirement)","Manual deletion from all copies including emailed attachments. Document deletion in writing.","High",N,"HIGHEST RISK ROW in this inventory. PAN and Aadhaar are sensitive data. Do not store in unencrypted spreadsheets. Move to a dedicated HR tool (Keka, Zoho Payroll, or similar). Stop sharing via email attachments."
,,,,,,,,,,,,,,,,
Add more rows above this line,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PRIORITY ACTIONS FOR D2C BUSINESSES,,,,,,,,,,,,,,,,
1. Add consent checkbox at Shopify checkout — most D2C stores are missing this (DPDP Act Section 6),,,,,,,,,,,,,,,,
2. Issue DPAs with Shiprocket and Klaviyo — these are the two most commonly unaddressed processors,,,,,,,,,,,,,,,,
3. Move HR data out of Google Sheets and into a dedicated tool with proper access controls,,,,,,,,,,,,,,,,
4. Implement a cookie consent banner for GA4 and Meta Pixel,,,,,,,,,,,,,,,,
5. Document the process for responding to customer erasure requests (Section 12) — test it before a request arrives,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This is not legal advice. Consult a qualified legal professional for advice specific to your organisation.,,,,,,,,,,,,,,,,
